join_key,dept_select.pre,dept_noucsb.pre,dept_other.pre,occupation.pre,device_select.pre,device_other.pre,device_os.pre,freq_gui.pre,freq_coding.pre,freq_database.pre,freq_version.pre,freq_shell.pre,satisfied_worflow.pre,motivation_select.pre,motivation_other.pre,findout_select.pre,findout_other.pre,agree_accessdata.pre,agree_coding.pre,agree_answers.pre,agree_learning.pre,agree_workdata.pre,agree_doanalysis.pre,agree_efficientdata.pre,hopes.pre,request_accessibility.post,accessibility_issues.post,suggestions.post,attend_entiretime.post,not_attend_select.post,not_attend_other.post,agree_apply.post,agree_comfortable.post,agree_clearanswers.post,agree_instr_enthusiasm.post,agree_instr_interaction.post,agree_instr_knowledge.post,instructor_example.post,workshop_strengths.post,workshop_improved.post,recommend_group.post,recommende_score.post,suggest_topics.post,agree_accessdata.post,agree_coding.post,agree_answers.post,agree_learning.post,agree_workdata.post,agree_doanalysis.post,agree_efficientdata.post,workshop
65nese,Linguistics,NA,NA,Graduate Student,Laptop,NA,macOS,Never,Several times per year,Never,Never,Several times per year,Unsatisfied,"To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future",NA,My advisor or supervisor told me about the workshop,NA,4,3,3,3,2,5,5,how to use twarc as a python library (rather than a command line tool) to do full archive searches with complex filters/rules,No,NA,NA,Attended the whole workshop,NA,NA,NA,NA,NA,NA,NA,NA,"They were very good about answering questions I put in the chat, and I really appreciate them putting in the effort to include people on Zoom.",The instructors were very knowledgeable and enthusiastic. I liked how the teaching team set up the workshop with a Jupyter Notebook instance for everyone to use and I think the teaching materials were very well organized.,I think the pace could have been slower so that more time could have been spent on why we're doing what we're doing and the logic behind certain commands and ways of collecting and interacting with the data versus just learning how to do certain tasks.,Passive,8,a more advanced version of this workshop,5,3,2,2,2,5,5,2022-05-26-ucsb-twarc
67kiap,Linguistics,NA,NA,Graduate Student,Laptop,NA,Windows,Less than once per year,Never,Never,Never,Never,Neutral,"To learn new skills,To learn skills that I can apply to my work in the future",NA,Received email or saw a flyer about the workshop,NA,5,1,4,NA,3,4,4,scrape data from single user on twitter for future analysis; ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-26-ucsb-twarc
80ta06,Economics,NA,NA,Graduate Student,Laptop,NA,macOS,Several times per year,Weekly,Daily,Monthly,Several times per year,Veri satisfied,"To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future",NA,Received email or saw a flyer about the workshop,NA,2,2,2,2,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-26-ucsb-twarc
49baap,Other,NA,Psychology,Graduate Student,Desktop Computer,NA,Windows,Weekly,Monthly,Monthly,Less than once per year,Never,Unsatisfied,"To learn new skills,To learn skills that I can apply to my work in the future",NA,Received email or saw a flyer about the workshop,NA,5,3,4,3,4,5,5,How to harvest data from Twitter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-26-ucsb-twarc
98moap,Biology/EEMB/MCDB,NA,NA,Graduate Student,Laptop,NA,macOS,Several times per year,NA,NA,NA,NA,Satisfied,To learn skills that I can apply to my work in the future,NA,Received email or saw a flyer about the workshop,NA,5,4,5,5,4,5,5,NA,No,NA,NA,Did not attend,Last second emergency conflict,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-26-ucsb-twarc
7,Economics,NA,NA,Graduate Student,Laptop,NA,macOS,Less than once per year,Weekly,Less than once per year,Monthly,Weekly,Unsatisfied,"To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future",NA,Received email or saw a flyer about the workshop,NA,5,4,4,4,4,5,5,"I wish i could learn more about how to manage a project. As my project gets larger and more complicated, sometimes I feel lost.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-26-ucsb-twarc
70edju,Other,NA,ARIT,Management,Desktop Computer,NA,Windows,Daily,Weekly,Daily,Weekly,Daily,Veri satisfied,"To learn new skills,To learn skills that I can apply to my work in the future",NA,Received email or saw a flyer about the workshop,NA,5,5,5,5,5,5,5,Working with APIs to harvest data for analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-26-ucsb-twarc
43olap,Education/GGSE,NA,NA,Graduate Student,Desktop Computer,NA,Windows,Weekly,Daily,Several times per year,Monthly,Monthly,Satisfied,To learn new skills,NA,Received email or saw a flyer about the workshop,NA,5,5,5,5,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-26-ucsb-twarc
61asju,Economics,NA,NA,Graduate Student,Laptop,NA,Windows,NA,NA,NA,Daily,NA,Satisfied,"To learn new skills,To learn skills that I can apply to my work in the future",NA,"Received email or saw a flyer about the workshop,A friend or colleague told me about the workshop",NA,5,5,4,4,4,5,5,"Being comfortable at extracting information from websites, in particular here: Twitter.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-26-ucsb-twarc
31nyde,Other,NA,Center for Black Studies Research,Postdoc Researcher,Laptop,NA,macOS,Monthly,Monthly,Monthly,Monthly,Monthly,Satisfied,"To refresh or review my skills,To learn skills that I can apply to my current work",NA,Saw the workshop listed on a Carpentry website,NA,5,4,5,5,5,5,5,How to scrape larger stores of data and how to automate the process of web-scraping social media data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-26-ucsb-twarc
86amma,Other,NA,"Staff, ARIT","Analyst,Commercial Software Developer,Support Staff/Technical Support",Laptop,NA,Windows,Never,Weekly,Daily,Daily,Daily,Veri satisfied,"To learn new skills,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future",NA,Received email or saw a flyer about the workshop,NA,NA,NA,NA,NA,NA,NA,NA,How the tools work and why it's used.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-26-ucsb-twarc
aa11,Other,NA,NA,Admin Staff,Laptop,NA,Windows,Daily,Monthly,Weekly,Monthly,Monthly,Satisfied,"To learn new skills,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future",NA,Received email or saw a flyer about the workshop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-26-ucsb-twarc
71looc,Other,NA,NA,Graduate Student,Laptop,NA,macOS,Less than once per year,Less than once per year,Never,Never,Less than once per year,Unsatisfied,"To learn new skills,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job or a promotion",NA,"Received email or saw a flyer about the workshop,Saw the workshop listed on a Carpentry website",NA,5,2,3,1,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-26-ucsb-twarc
86ty06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Attended the whole workshop,NA,NA,NA,NA,NA,NA,NA,NA,"How to harvest through ""search""",Very very very helpful!,more days! thanks!,Promoter,10,Real life samples,5,5,5,5,5,5,5,2022-05-26-ucsb-twarc
33sdno,Engineering,NA,NA,Graduate Student,Laptop,NA,macOS,Never,NA,NA,NA,NA,Neutral,"To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future",NA,My advisor or supervisor told me about the workshop,NA,5,2,3,3,2,5,5,To learn how to use Python/R to manage data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-07-12-ucsb-bash
